"name","required","dimensions","dimnames","bmtype","units","long_name","dtype","sumtype","inwc","insed","dissol","decay","partic","fill.value","passive","svel","xvel","psize","b_dens","i_conc","f_conc","wc.hor.pattern","wc.ver.pattern","sediment","wc.hor.scalar"
"Ice_Mixotrophs_N",FALSE,2,"[ icenz b ]","tracer","mg N m-3","Ice_Mixotrophs Nitrogen",0,1,1,1,0,0,1,0,1,0,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"Ice_Mixotrophs_F",FALSE,2,"[ icenz b ]","tracer","mg Fe m-3","Ice_Mixotrophs Iron",0,1,1,1,0,0,1,0,1,-2.89e-06,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"Pelagic_Picophytoplankton_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Pelagic_Picophytoplankton Nitrogen",0,1,1,1,0,0,1,0,1,0,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"Light_Adaptn_PPS",FALSE,2,"[ z b ]","tracer","PSU","Light adaption of Pelagic_Picophytoplankton",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Pelagic_Diatoms_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Pelagic_Diatoms Nitrogen",0,1,1,1,0,0,1,0,1,-2.89e-06,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"Pelagic_Diatoms_S",FALSE,2,"[ z b ]","tracer","mg Si m-3","Pelagic_Diatoms Silicon",0,1,1,1,0,0,1,0,1,-2.89e-06,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"Light_Adaptn_PPL",FALSE,2,"[ z b ]","tracer","PSU","Light adaption of Pelagic_Diatoms",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Pelagic_Dinoflagellates_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Pelagic_Dinoflagellates Nitrogen",0,1,1,1,0,0,1,0,1,0,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"Light_Adaptn_PDF",FALSE,2,"[ z b ]","tracer","PSU","Light adaption of Pelagic_Dinoflagellates",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Ice_Zoobiota_N",FALSE,2,"[ icenz b ]","tracer","mg N m-3","Ice_Zoobiota Nitrogen",0,1,1,0,0,0,1,0,1,0,0,0.001,1000000000,200000000,200000000,"custom","uniform",0,0
"Ice_Zoobiota_F",FALSE,2,"[ icenz b ]","tracer","mg Fe m-3","Ice_Zoobiota Iron",0,1,1,1,0,0,1,0,1,-2.89e-06,0,1e-05,1000000000,200000000,200000000,"custom","uniform",0,0
"Copepods_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Copepods Nitrogen",0,1,1,0,0,0,1,0,1,0,0,0.001,1000000000,200000000,200000000,"custom","uniform",0,0
"Salps_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Salps Nitrogen",0,1,1,0,0,0,1,0,1,0,0,0.1,1000000000,200000000,200000000,"custom","uniform",0,0
"Benthos_N",FALSE,1,"[ b ]","epibenthos","mg N m-2","Benthos Nitrogen",0,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"custom","none",0,0
"Cephalopod_N1",FALSE,2,"[ z b ]","tracer","mg N m-3","Cephalopod cohort 1 Nitrogen",0,1,1,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","uniform",0,0
"Cephalopod_N2",FALSE,2,"[ z b ]","tracer","mg N m-3","Cephalopod cohort 2 Nitrogen",0,1,1,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","uniform",0,0
"Fish_Mesopelagic_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Fish_Mesopelagic total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Fish_Mesopelagic1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Mesopelagic cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Mesopelagic2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Mesopelagic cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Mesopelagic3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Mesopelagic cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Mesopelagic4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Mesopelagic cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Mesopelagic1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Mesopelagic cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Mesopelagic2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Mesopelagic cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Mesopelagic3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Mesopelagic cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Mesopelagic4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Mesopelagic cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Mesopelagic1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Mesopelagic cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Mesopelagic2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Mesopelagic cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Mesopelagic3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Mesopelagic cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Mesopelagic4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Mesopelagic cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic_N",FALSE,2,"[ z b ]","tracer","mg N m-3","Fish_Benthopelagic total N",0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"constant","uniform",0,0
"Fish_Benthopelagic1_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic2_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic3_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic4_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic5_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic6_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic7_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic8_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic9_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic10_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic11_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 11",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic12_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 12",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic13_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 13",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic14_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 14",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic15_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 15",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic16_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 16",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic17_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 17",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic18_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 18",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic19_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 19",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic20_Nums",FALSE,2,"[ z b ]","tracer","1","Numbers of Fish_Benthopelagic cohort 20",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"custom","surface",0,0
"Fish_Benthopelagic1_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic2_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic3_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic4_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic5_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic6_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic7_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic8_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic9_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic10_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 10",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic11_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 11",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic12_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 12",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic13_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 13",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic14_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 14",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic15_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 15",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic16_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 16",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic17_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 17",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic18_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 18",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic19_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 19",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic20_StructN",FALSE,2,"[ z b ]","tracer","mg N","Individual structural N for Fish_Benthopelagic cohort 20",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic1_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 1",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic2_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 2",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic3_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 3",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic4_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 4",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic5_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 5",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic6_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 6",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic7_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 7",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic8_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 8",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
"Fish_Benthopelagic9_ResN",FALSE,2,"[ z b ]","tracer","mg N","Individual reserve N for Fish_Benthopelagic cohort 9",0,0,0,0,0,0,1,0,0,0,0,10,1000000000,200000000,200000000,"constant","uniform",0,0
